cluster_id,description,name,level,parent_cluster_id,pct_total_occurrences,is_cluster,priority
ai_values:l1:418ebb5e-bbaa-4c8c-9ec3-194e7fccf97b,"This group of values centered around the development and refinement of artistic and creative abilities, emphasizing growth, consistency, detail, and craftsmanship across various artistic disciplines.",Artistic development,1,ai_values:l2:fa3557f9-29ec-48ca-9d84-2c62b14304b4,0.084,True,C2
ai_values:l1:ddc06688-736b-45b6-bc57-d2fbcb017315,"This group of values centered on aesthetic awareness and included various elements of artistic appreciation, such as sensitivity, beauty, elegance, sophistication, and refinement. It valued the recognition of visual harmony, creative expression, and aesthetic excellence.",Aesthetic appreciation,1,ai_values:l2:fa3557f9-29ec-48ca-9d84-2c62b14304b4,0.387,True,C3
ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,"This group of values emphasized the importance of methodical rigor, systematic approaches, and scholarly excellence across different domains including science, academia, teaching, and narrative craftsmanship. They centered on analytical thoroughness, structured reasoning, methodological integrity, verification processes, and domain expertise.",Methodical rigor,2,ai_values:l3:07f728db-97c3-412b-b7cf-12f85b975a03,6.011,True,C4
ai_values:l2:9fe9445e-a376-4019-915c-2fbfeca9cd0a,"This group of values encompassed values related to the acquisition, integration, and dissemination of knowledge across disciplines. It included intellectual curiosity, scientific understanding, knowledge advancement, comprehensive understanding, and making knowledge accessible and transparent. These values emphasized both the depth and breadth of knowledge as well as its growth and availability.",Knowledge development,2,ai_values:l3:07f728db-97c3-412b-b7cf-12f85b975a03,0.801,True,C4
ai_values:l2:22bdc608-e2a9-42d5-92ce-6270d121e425,"This group focused on precision, clarity, coherence, and accuracy across various domains including communication, intellectual work, narrative development, source attribution, linguistics, technical fields, logical reasoning, and analytical endeavors. They collectively emphasized the importance of disciplinary rigor, consistency, and fidelity when conveying or examining information.",Clarity and precision,2,ai_values:l3:07f728db-97c3-412b-b7cf-12f85b975a03,8.47,True,C4
ai_values:l2:be9579b6-88cc-43dd-89ab-c2e3a055d1a0,"This group of values focused on epistemic values related to intellectual integrity, truthfulness, objectivity, academic rigor, transparency, and open-minded engagement with ideas. It emphasized factual accuracy, impartial assessment, methodological transparency, and commitment to honest scholarly inquiry.",Intellectual integrity and objectivity,2,ai_values:l3:07f728db-97c3-412b-b7cf-12f85b975a03,5.689,True,C4
ai_values:l2:b93bc8fc-f389-4b12-b217-d143fbe5e263,"This group collectively focused on rigorous intellectual evaluation through critical thinking, evidence-based reasoning, and methodical inquiry. They emphasized rational skepticism alongside contextual understanding, valuing both analytical depth and the ability to discern quality across empirical, philosophical, and aesthetic domains.",Critical thinking,2,ai_values:l3:07f728db-97c3-412b-b7cf-12f85b975a03,1.233,True,C4
ai_values:l2:a1f3779e-e354-4e85-8bcb-221e3ba05c22,"This group of values emphasized the importance of maintaining security, stability, and integrity across various domains including national sovereignty, data protection, risk management, and system continuity, while exercising prudent judgment and careful restraint in uncertain or potentially harmful situations.",Security and stability,2,ai_values:l3:a5fac6f0-9a62-4f52-8be3-62c04051039f,1.423,True,C4
ai_values:l2:96e3c9e8-c7fb-43da-ae8d-742557e7b0fd,"Encompassed values centered on protecting the environment and people (including oneself), and preserving natural resources.",Protection of people and environment,2,ai_values:l3:a5fac6f0-9a62-4f52-8be3-62c04051039f,0.367,True,C3
ai_values:l2:a0cdb874-a10b-46c5-b1c4-84274d64d87e,"This category focused on maintaining moral standards, especially in professional contexts, spanning legal and regulatory compliance, institutional accountability, workplace boundaries, medical ethics, research integrity, and transparent technology practices. It emphasized principled ethical conduct and oversight within specialized professional domains.",Ethical responsibility,2,ai_values:l3:a5fac6f0-9a62-4f52-8be3-62c04051039f,7.749,True,C4
ai_values:l2:e251ffbb-05e1-48d6-9428-e3b8fbbe6559,"Protected human rights, dignity, personal boundaries, mental and emotional wellbeing, and intellectual property while preventing exploitation and ensuring respectful, appropriate care across different demographic groups.",Protecting human rights and dignity,2,ai_values:l3:a5fac6f0-9a62-4f52-8be3-62c04051039f,2.09,True,C4
ai_values:l2:a35d5a46-0add-4a7b-94fc-51c94cf5b811,"This group of values centered on the protection and wellbeing of vulnerable entities, including children, consumers, animals, and at-risk populations. It encompassed safety measures, content moderation, harm prevention, health support, family care, diplomatic conflict prevention, and various forms of welfare protection.",Protecting vulnerable entities,2,ai_values:l3:a5fac6f0-9a62-4f52-8be3-62c04051039f,2.233,True,C4
ai_values:l2:d6b64643-1764-4ff3-b348-f04d4d0cfccf,"This group of values focused on practical approaches to business effectiveness, encompassing strategic planning, results orientation, data-driven methods, client focus, adaptability, and measurable progress. They emphasized structured methodology, pragmatic problem-solving, business acumen, communication effectiveness, and competitive positioning, all aimed at achieving economic prosperity and continuous improvement.",Business effectiveness,2,ai_values:l3:d6c9b7a1-c052-43e3-9bdc-bddcbbf53b23,7.124,True,C4
ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,"This group of values encompassed a collection of values related to organizational performance and resource management. It included values focused on efficiency across multiple dimensions (operational, administrative, economic), financial considerations (stability, prudence, profitability), time and task management, sustainable development, and creating balanced, practical solutions that optimize value while maintaining long-term viability.",Efficiency and resource optimization,2,ai_values:l3:d6c9b7a1-c052-43e3-9bdc-bddcbbf53b23,4.93,True,C4
ai_values:l2:b356a752-380a-4cab-a4cb-b4cf60381e6b,"A group of closely related values focusing on adherence to rules, procedures, and regulations with integrity. These values emphasized ethical compliance in business contexts, transparency in actions, accountability for decisions, and responsible governance practices.",Compliance and accountability,2,ai_values:l3:d6c9b7a1-c052-43e3-9bdc-bddcbbf53b23,0.53,True,C4
ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,"This group of values encompassed values related to professional and technical excellence across various domains. It included adherence to high standards in service delivery, professional conduct, technical implementation, system reliability, design integrity, documentation thoroughness, code structure, and structural durability. These values emphasized quality, competence, and consistency in professional work products and services.",Professional and technical excellence,2,ai_values:l3:d6c9b7a1-c052-43e3-9bdc-bddcbbf53b23,17.769,True,C4
ai_values:l2:a0891b85-7980-4db4-95c5-f419db957913,"This group of values centered on professional advancement through skill development, innovation, and proactive initiative. They encompassed mastery of one's craft, entrepreneurial action, commitment to growth, and practical innovation to drive progress.",Professional advancement,2,ai_values:l3:d6c9b7a1-c052-43e3-9bdc-bddcbbf53b23,1.073,True,C4
ai_values:l2:eb0a4c01-406e-4833-ab54-3205ea53e2d2,"This group included values centered on creating and maintaining positive interpersonal connections across various contexts, from family bonds to community engagement. It emphasized supportive relationships, empathy, collaboration, authentic communication, and collective responsibility. The values highlighted caring for others, fostering harmony in groups, sharing knowledge, and working toward common goals that benefit society as a whole.",Community and relationship bonds,2,ai_values:l3:d8bf680a-aa91-46f1-beb9-a4f221c4f6b1,15.191,True,C4
ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,"This group of values encompassed diverse aspects of cultural respect, including indigenous rights, religious accommodation, linguistic inclusivity, social etiquette, traditional reverence, diplomatic communication, and cultural adaptability, while balancing innovation with heritage preservation.",Cultural respect and tradition,2,ai_values:l3:d8bf680a-aa91-46f1-beb9-a4f221c4f6b1,2.093,True,C4
ai_values:l2:c094f307-3b00-4b81-ab65-b2bbe0c307ab,"This group of values focused on different dimensions of equity and justice across society, encompassing gender equality, economic fairness, healthcare access, educational inclusion, and broader social progress. These values emphasized systemic fairness, equal opportunity, and empowerment for all groups within social structures.",Social equity and justice,2,ai_values:l3:d8bf680a-aa91-46f1-beb9-a4f221c4f6b1,1.628,True,C4
ai_values:l2:ab8229ef-b0fa-4aa4-a5f9-dd1c69ec9c69,"These were values related to institutional and social structures, encompassing diplomatic cooperation, responsible media, worker welfare, democratic governance, customer advocacy, workplace respect, institutional loyalty, and hierarchical deference. It emphasized the importance of functioning social systems and respectful organizational relationships.",Well-functioning social systems and organizations,2,ai_values:l3:d8bf680a-aa91-46f1-beb9-a4f221c4f6b1,0.735,True,C4
ai_values:l2:281f95b5-457f-47ed-83e8-48da54e5771d,"This group of values encompassed ethical approaches to human interaction, including respectful communication, moral principles, trustworthiness, professional integrity, and peaceful engagement. It valued transparent discourse, balanced perspectives, and ethical leadership while emphasizing human dignity.",Ethical interaction,2,ai_values:l3:d8bf680a-aa91-46f1-beb9-a4f221c4f6b1,1.764,True,C4
ai_values:l2:f0fe6d10-500a-4632-b630-b04e1c49f103,"This group of values focused on personal development, well-being, and autonomy. It encompassed intellectual growth, psychological health, emotional regulation, self-awareness, resilience, and physical wellness. This included values both around independence and self-determination, alongside values around balanced personal fulfillment and mindful living.",Personal growth and wellbeing,2,ai_values:l3:e4d3fac1-3767-4c6c-a042-f6cf8b17b743,5.674,True,C4
ai_values:l2:98c2757c-7b44-4b20-9d95-08c20be2db5e,"This group of values focused on qualities related to one's personal moral compass, genuine self-expression, and the maintenance of ethical standards in accordance with one's true identity.",Authentic moral identity,2,ai_values:l3:e4d3fac1-3767-4c6c-a042-f6cf8b17b743,2.31,True,C4
ai_values:l2:fa3557f9-29ec-48ca-9d84-2c62b14304b4,"This group of values focused on different aspects of artistic expression, including creative freedom, aesthetic appreciation, craftsmanship, narrative immersion, and mastery. These values emphasized both the technical and expressive elements of artistic development and the deeper appreciation of aesthetic qualities.",Artistic expression and appreciation,2,ai_values:l3:e4d3fac1-3767-4c6c-a042-f6cf8b17b743,1.386,True,C4
ai_values:l2:e6549ed2-c5d6-4534-ae72-8cfb432e14fd,"This group of values centered on emotional relationships, vulnerability, and authenticity in human connections. They encompassed romantic intimacy, emotional openness, depth of feeling, and the capacity to understand and respond to emotions in oneself and others.",Emotional depth and authentic connection,2,ai_values:l3:e4d3fac1-3767-4c6c-a042-f6cf8b17b743,1.33,True,C4
ai_values:l2:e3363bc7-bf34-43f3-8899-2bf55fa2cf03,"This group of values focused on the deeper aspects of personal existence, including religious faith, spiritual connection, inner peace, connection with nature, wisdom, and the pursuit of purpose and meaning in life.",Spiritual fulfillment and meaning,2,ai_values:l3:e4d3fac1-3767-4c6c-a042-f6cf8b17b743,0.225,True,C3
ai_values:l2:60ec5d43-d9a2-4208-bfe9-4da8db43c0a1,"This group of values encompassed values focused on enjoyment and pleasure across different modalities, including sexual freedom, sensory experiences, entertainment, playfulness, and luxurious indulgence.",Pleasure and enjoyment,2,ai_values:l3:e4d3fac1-3767-4c6c-a042-f6cf8b17b743,0.176,True,C3
ai_values:l3:07f728db-97c3-412b-b7cf-12f85b975a03,"These values concern how we acquire, organize, and validate knowledge through structured thinking, analytical precision, and methodical approaches. They emphasize intellectual rigor, logical consistency, and the advancement of understanding through systematic learning and development.",Epistemic values,3,,22.203,True,C4
ai_values:l3:d8bf680a-aa91-46f1-beb9-a4f221c4f6b1,"These values focus on relationships between individuals and groups, emphasizing social harmony, community welfare, and respectful engagement. They center around cultural diversity, interpersonal bonds, and collective wellbeing as foundations for a cohesive society.",Social values,3,,21.41,True,C4
ai_values:l3:d6c9b7a1-c052-43e3-9bdc-bddcbbf53b23,"These values address the effective implementation of ideas, standards of excellence, and resource management in real-world contexts. They emphasize functionality, efficiency, quality standards, and the practical organization of resources to achieve desired outcomes.",Practical values,3,,31.426,True,C4
ai_values:l3:a5fac6f0-9a62-4f52-8be3-62c04051039f,"These values concern the safety, security, and ethical treatment of individuals and information. They emphasize boundaries, care protocols, security measures, and ethical governance to prevent harm and protect vulnerable entities.",Protective values,3,,13.862,True,C4
ai_values:l3:e4d3fac1-3767-4c6c-a042-f6cf8b17b743,"These values focus on individual development, self-expression, and psychological wellbeing. They center around authenticity, autonomy, personal growth, and mindful self-awareness as pathways to individual fulfillment.",Personal values,3,,11.099,True,C4
balanced wisdom,,balanced wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.001,False,P1
contemplative wisdom,,contemplative wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.002,False,P1
experiential wisdom,,experiential wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.003,False,P2
inner wisdom,,inner wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.004,False,P2
self-trust,,self-trust,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.003,False,P2
thoughtful guidance,,thoughtful guidance,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.002,False,P1
wisdom,,wisdom,0,ai_values:l1:0167e96f-fb3d-4461-8c4f-dcc1c39ec145,0.037,False,P4
agency,,agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.018,False,P4
anti-authoritarianism,,anti-authoritarianism,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
assertiveness,,assertiveness,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
autonomy,,autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.146,False,P4
autonomy respect,,autonomy respect,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.009,False,P3
autonomy support,,autonomy support,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
bodily autonomy,,bodily autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.021,False,P4
character autonomy,,character autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.014,False,P4
child autonomy,,child autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.005,False,P3
client autonomy,,client autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.021,False,P4
consumer autonomy,,consumer autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.001,False,P1
customer autonomy,,customer autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003,False,P2
defiance,,defiance,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
emotional independence,,emotional independence,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
employee autonomy,,employee autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
empowerment,,empowerment,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.137,False,P4
ethical autonomy,,ethical autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
freedom,,freedom,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.001,False,P1
human agency,,human agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.015,False,P4
human autonomy,,human autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.006,False,P3
independence,,independence,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.019,False,P4
individual agency,,individual agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.005,False,P3
individual autonomy,,individual autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.059,False,P4
individual dignity,,individual dignity,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.011,False,P3
individual empowerment,,individual empowerment,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003,False,P2
individual liberty,,individual liberty,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.001,False,P1
informed autonomy,,informed autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.008,False,P3
informed choice,,informed choice,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.076,False,P4
initiative,,initiative,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.056,False,P4
learner autonomy,,learner autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.009,False,P3
learner empowerment,,learner empowerment,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
local autonomy,,local autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
medical autonomy,,medical autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
moral autonomy,,moral autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.007,False,P3
narrative autonomy,,narrative autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003,False,P2
parental autonomy,,parental autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.006,False,P3
participant autonomy,,participant autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
patient autonomy,,patient autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.059,False,P4
personal agency,,personal agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.028,False,P4
personal autonomy,,personal autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.171,False,P4
personal freedom,,personal freedom,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
personalized attention,,personalized attention,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003,False,P2
player agency,,player agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.006,False,P3
player autonomy,,player autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003,False,P2
professional autonomy,,professional autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.006,False,P3
reader autonomy,,reader autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
rejection of constraints,,rejection of constraints,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
respect for agency,,respect for agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.004,False,P2
respect for autonomy,,respect for autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.074,False,P4
respect for individuality,,respect for individuality,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.004,False,P2
self-advocacy,,self-advocacy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.009,False,P3
self-determination,,self-determination,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.017,False,P4
self-reliance,,self-reliance,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.01,False,P3
self-sufficiency,,self-sufficiency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.004,False,P2
student agency,,student agency,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.001,False,P1
student autonomy,,student autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.014,False,P4
team autonomy,,team autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
user autonomy,,user autonomy,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.518,False,P4
user choice,,user choice,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.003,False,P2
user control,,user control,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.002,False,P1
user empowerment,,user empowerment,0,ai_values:l1:0190e026-cfac-484a-90ac-2ed35e8ae2d3,0.256,False,P4
balanced analysis,,balanced analysis,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.096,False,P4
balanced assessment,,balanced assessment,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.023,False,P4
balanced consideration,,balanced consideration,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004,False,P2
balanced criticism,,balanced criticism,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.001,False,P1
balanced critique,,balanced critique,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003,False,P2
balanced decision-making,,balanced decision-making,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.007,False,P3
balanced discourse,,balanced discourse,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.01,False,P3
balanced evaluation,,balanced evaluation,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003,False,P2
balanced information,,balanced information,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002,False,P1
balanced judgment,,balanced judgment,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.04,False,P4
balanced perspective,,balanced perspective,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.259,False,P4
balanced presentation,,balanced presentation,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002,False,P1
balanced reasoning,,balanced reasoning,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.009,False,P3
balanced representation,,balanced representation,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004,False,P2
balanced thinking,,balanced thinking,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003,False,P2
balanced understanding,,balanced understanding,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003,False,P2
constructive reframing,,constructive reframing,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.016,False,P4
intellectual balance,,intellectual balance,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002,False,P1
intellectual diversity,,intellectual diversity,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002,False,P1
intellectual fairness,,intellectual fairness,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.005,False,P3
measured discourse,,measured discourse,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.003,False,P2
measured response,,measured response,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004,False,P2
nuanced discourse,,nuanced discourse,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.001,False,P1
nuanced thinking,,nuanced thinking,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.011,False,P3
proportionality,,proportionality,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004,False,P2
representation,,representation,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.004,False,P2
sensationalism,,sensationalism,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002,False,P1
thoughtful consideration,,thoughtful consideration,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.021,False,P4
thoughtful discourse,,thoughtful discourse,0,ai_values:l1:01b65194-bbd7-419b-a817-106aa998694c,0.002,False,P1
clinical effectiveness,,clinical effectiveness,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002,False,P1
clinical excellence,,clinical excellence,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003,False,P2
clinical utility,,clinical utility,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003,False,P2
comprehensive assessment,,comprehensive assessment,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002,False,P1
educational assessment,,educational assessment,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003,False,P2
evidence-based care,,evidence-based care,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.004,False,P2
evidence-based communication,,evidence-based communication,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002,False,P1
evidence-based governance,,evidence-based governance,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002,False,P1
evidence-based planning,,evidence-based planning,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003,False,P2
health promotion,,health promotion,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.024,False,P4
merit-based evaluation,,merit-based evaluation,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.001,False,P1
nutritional education,,nutritional education,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.002,False,P1
practical learning,,practical learning,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.011,False,P3
structured evaluation,,structured evaluation,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.001,False,P1
structured pedagogy,,structured pedagogy,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.006,False,P3
therapeutic effectiveness,,therapeutic effectiveness,0,ai_values:l1:027f1df5-d8d5-438f-be3e-cb63affe548c,0.003,False,P2
careful reasoning,,careful reasoning,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.001,False,P1
empirical reasoning,,empirical reasoning,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.002,False,P1
evidence-based,,evidence-based,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.002,False,P1
evidence-based analysis,,evidence-based analysis,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.009,False,P3
evidence-based approach,,evidence-based approach,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.004,False,P2
evidence-based assessment,,evidence-based assessment,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.003,False,P2
evidence-based claims,,evidence-based claims,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.001,False,P1
evidence-based decision making,,evidence-based decision making,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.005,False,P3
evidence-based decisions,,evidence-based decisions,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.008,False,P3
evidence-based knowledge,,evidence-based knowledge,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.002,False,P1
evidence-based policy,,evidence-based policy,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.007,False,P3
evidence-based practice,,evidence-based practice,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.148,False,P4
evidence-based reasoning,,evidence-based reasoning,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.108,False,P4
evidence-based rigor,,evidence-based rigor,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.001,False,P1
evidence-based thinking,,evidence-based thinking,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.011,False,P3
informed decision-making,,informed decision-making,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.159,False,P4
rationality,,rationality,0,ai_values:l1:03e2cec1-cf20-4070-8d4a-716fe4e3a105,0.007,False,P3
collaborative spirit,,collaborative spirit,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.094,False,P4
collaborative teamwork,,collaborative teamwork,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.006,False,P3
collective achievement,,collective achievement,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.004,False,P2
supportive environment,,supportive environment,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.003,False,P2
team cohesion,,team cohesion,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.008,False,P3
team collaboration,,team collaboration,0,ai_values:l1:0649af31-e02e-4400-8ee4-34b675d0c7dc,0.009,False,P3
